,Team,Year,Wins,Losses,Win Percentage,Goals Scored
290,                            Colorado Avalanche                        ,                            2001                        ,                            45                        ,                            28                        ,                            0.549                        ,                            212                        
291,                            Dallas Stars                        ,                            2001                        ,                            36                        ,                            28                        ,                            0.439                        ,                            215                        
292,                            Detroit Red Wings                        ,                            2001                        ,                            51                        ,                            17                        ,                            0.622                        ,                            251                        
293,                            Edmonton Oilers                        ,                            2001                        ,                            38                        ,                            28                        ,                            0.463                        ,                            205                        
294,                            Florida Panthers                        ,                            2001                        ,                            22                        ,                            44                        ,                            0.268                        ,                            180                        
295,                            Los Angeles Kings                        ,                            2001                        ,                            40                        ,                            27                        ,                            0.488                        ,                            214                        
296,                            Minnesota Wild                        ,                            2001                        ,                            26                        ,                            35                        ,                            0.317                        ,                            195                        
297,                            Montreal Canadiens                        ,                            2001                        ,                            36                        ,                            31                        ,                            0.439                        ,                            207                        
298,                            Nashville Predators                        ,                            2001                        ,                            28                        ,                            41                        ,                            0.341                        ,                            196                        
299,                            New Jersey Devils                        ,                            2001                        ,                            41                        ,                            28                        ,                            0.5                        ,                            205                        
300,                            New York Islanders                        ,                            2001                        ,                            42                        ,                            28                        ,                            0.512                        ,                            239                        
301,                            New York Rangers                        ,                            2001                        ,                            36                        ,                            38                        ,                            0.439                        ,                            227                        
302,                            Ottawa Senators                        ,                            2001                        ,                            39                        ,                            27                        ,                            0.476                        ,                            243                        
303,                            Philadelphia Flyers                        ,                            2001                        ,                            42                        ,                            27                        ,                            0.512                        ,                            234                        
304,                            Phoenix Coyotes                        ,                            2001                        ,                            40                        ,                            27                        ,                            0.488                        ,                            228                        
305,                            Pittsburgh Penguins                        ,                            2001                        ,                            28                        ,                            41                        ,                            0.341                        ,                            198                        
306,                            San Jose Sharks                        ,                            2001                        ,                            44                        ,                            27                        ,                            0.537                        ,                            248                        
307,                            St. Louis Blues                        ,                            2001                        ,                            43                        ,                            27                        ,                            0.524                        ,                            227                        
308,                            Tampa Bay Lightning                        ,                            2001                        ,                            27                        ,                            40                        ,                            0.329                        ,                            178                        
309,                            Toronto Maple Leafs                        ,                            2001                        ,                            43                        ,                            25                        ,                            0.524                        ,                            249                        
310,                            Vancouver Canucks                        ,                            2001                        ,                            42                        ,                            30                        ,                            0.512                        ,                            254                        
311,                            Washington Capitals                        ,                            2001                        ,                            36                        ,                            33                        ,                            0.439                        ,                            228                        
312,                            Mighty Ducks of Anaheim                        ,                            2002                        ,                            40                        ,                            27                        ,                            0.488                        ,                            203                        
313,                            Atlanta Thrashers                        ,                            2002                        ,                            31                        ,                            39                        ,                            0.378                        ,                            226                        
314,                            Boston Bruins                        ,                            2002                        ,                            36                        ,                            31                        ,                            0.439                        ,                            245                        
315,                            Buffalo Sabres                        ,                            2002                        ,                            27                        ,                            37                        ,                            0.329                        ,                            190                        
316,                            Calgary Flames                        ,                            2002                        ,                            29                        ,                            36                        ,                            0.354                        ,                            186                        
317,                            Carolina Hurricanes                        ,                            2002                        ,                            22                        ,                            43                        ,                            0.268                        ,                            171                        
318,                            Columbus Blue Jackets                        ,                            2002                        ,                            29                        ,                            42                        ,                            0.354                        ,                            213                        
319,                            Chicago Blackhawks                        ,                            2002                        ,                            30                        ,                            33                        ,                            0.366                        ,                            207                        
320,                            Colorado Avalanche                        ,                            2002                        ,                            42                        ,                            19                        ,                            0.512                        ,                            251                        
321,                            Dallas Stars                        ,                            2002                        ,                            46                        ,                            17                        ,                            0.561                        ,                            245                        
322,                            Detroit Red Wings                        ,                            2002                        ,                            48                        ,                            20                        ,                            0.585                        ,                            269                        
323,                            Edmonton Oilers                        ,                            2002                        ,                            36                        ,                            26                        ,                            0.439                        ,                            231                        
324,                            Florida Panthers                        ,                            2002                        ,                            24                        ,                            36                        ,                            0.293                        ,                            176                        
325,                            Los Angeles Kings                        ,                            2002                        ,                            33                        ,                            37                        ,                            0.402                        ,                            203                        
326,                            Minnesota Wild                        ,                            2002                        ,                            42                        ,                            29                        ,                            0.512                        ,                            198                        
327,                            Montreal Canadiens                        ,                            2002                        ,                            30                        ,                            35                        ,                            0.366                        ,                            206                        
328,                            Nashville Predators                        ,                            2002                        ,                            27                        ,                            35                        ,                            0.329                        ,                            183                        
329,                            New Jersey Devils                        ,                            2002                        ,                            46                        ,                            20                        ,                            0.561                        ,                            216                        
330,                            New York Islanders                        ,                            2002                        ,                            35                        ,                            34                        ,                            0.427                        ,                            224                        
331,                            New York Rangers                        ,                            2002                        ,                            32                        ,                            36                        ,                            0.39                        ,                            210                        
332,                            Ottawa Senators                        ,                            2002                        ,                            52                        ,                            21                        ,                            0.634                        ,                            263                        
333,                            Philadelphia Flyers                        ,                            2002                        ,                            45                        ,                            20                        ,                            0.549                        ,                            211                        
334,                            Phoenix Coyotes                        ,                            2002                        ,                            31                        ,                            35                        ,                            0.378                        ,                            204                        
335,                            Pittsburgh Penguins                        ,                            2002                        ,                            27                        ,                            44                        ,                            0.329                        ,                            189                        
336,                            San Jose Sharks                        ,                            2002                        ,                            28                        ,                            37                        ,                            0.341                        ,                            214                        
337,                            St. Louis Blues                        ,                            2002                        ,                            41                        ,                            24                        ,                            0.5                        ,                            253                        
338,                            Tampa Bay Lightning                        ,                            2002                        ,                            36                        ,                            25                        ,                            0.439                        ,                            219                        
339,                            Toronto Maple Leafs                        ,                            2002                        ,                            44                        ,                            28                        ,                            0.537                        ,                            236                        
340,                            Vancouver Canucks                        ,                            2002                        ,                            45                        ,                            23                        ,                            0.549                        ,                            264                        
341,                            Washington Capitals                        ,                            2002                        ,                            39                        ,                            29                        ,                            0.476                        ,                            224                        
342,                            Mighty Ducks of Anaheim                        ,                            2003                        ,                            29                        ,                            35                        ,                            0.354                        ,                            184                        
343,                            Atlanta Thrashers                        ,                            2003                        ,                            33                        ,                            37                        ,                            0.402                        ,                            214                        
344,                            Boston Bruins                        ,                            2003                        ,                            41                        ,                            19                        ,                            0.5                        ,                            209                        
345,                            Buffalo Sabres                        ,                            2003                        ,                            37                        ,                            34                        ,                            0.451                        ,                            220                        
346,                            Calgary Flames                        ,                            2003                        ,                            42                        ,                            30                        ,                            0.512                        ,                            200                        
347,                            Carolina Hurricanes                        ,                            2003                        ,                            28                        ,                            34                        ,                            0.341                        ,                            172                        
348,                            Columbus Blue Jackets                        ,                            2003                        ,                            25                        ,                            45                        ,                            0.305                        ,                            177                        
349,                            Chicago Blackhawks                        ,                            2003                        ,                            20                        ,                            43                        ,                            0.244                        ,                            188                        
350,                            Colorado Avalanche                        ,                            2003                        ,                            40                        ,                            22                        ,                            0.488                        ,                            236                        
351,                            Dallas Stars                        ,                            2003                        ,                            41                        ,                            26                        ,                            0.5                        ,                            194                        
352,                            Detroit Red Wings                        ,                            2003                        ,                            48                        ,                            21                        ,                            0.585                        ,                            255                        
353,                            Edmonton Oilers                        ,                            2003                        ,                            36                        ,                            29                        ,                            0.439                        ,                            221                        
354,                            Florida Panthers                        ,                            2003                        ,                            28                        ,                            35                        ,                            0.341                        ,                            188                        
355,                            Los Angeles Kings                        ,                            2003                        ,                            28                        ,                            29                        ,                            0.341                        ,                            205                        
356,                            Minnesota Wild                        ,                            2003                        ,                            30                        ,                            29                        ,                            0.366                        ,                            188                        
357,                            Montreal Canadiens                        ,                            2003                        ,                            41                        ,                            30                        ,                            0.5                        ,                            208                        
358,                            Nashville Predators                        ,                            2003                        ,                            38                        ,                            29                        ,                            0.463                        ,                            216                        
359,                            New Jersey Devils                        ,                            2003                        ,                            43                        ,                            25                        ,                            0.524                        ,                            213                        
360,                            New York Islanders                        ,                            2003                        ,                            38                        ,                            29                        ,                            0.463                        ,                            237                        
361,                            New York Rangers                        ,                            2003                        ,                            27                        ,                            40                        ,                            0.329                        ,                            206                        
362,                            Ottawa Senators                        ,                            2003                        ,                            43                        ,                            23                        ,                            0.524                        ,                            262                        
363,                            Philadelphia Flyers                        ,                            2003                        ,                            40                        ,                            21                        ,                            0.488                        ,                            229                        
364,                            Phoenix Coyotes                        ,                            2003                        ,                            22                        ,                            36                        ,                            0.268                        ,                            188                        
365,                            Pittsburgh Penguins                        ,                            2003                        ,                            23                        ,                            47                        ,                            0.28                        ,                            190                        
366,                            San Jose Sharks                        ,                            2003                        ,                            43                        ,                            21                        ,                            0.524                        ,                            219                        
367,                            St. Louis Blues                        ,                            2003                        ,                            39                        ,                            30                        ,                            0.476                        ,                            191                        
368,                            Tampa Bay Lightning                        ,                            2003                        ,                            46                        ,                            22                        ,                            0.561                        ,                            245                        
369,                            Toronto Maple Leafs                        ,                            2003                        ,                            45                        ,                            24                        ,                            0.549                        ,                            242                        
370,                            Vancouver Canucks                        ,                            2003                        ,                            43                        ,                            24                        ,                            0.524                        ,                            235                        
371,                            Washington Capitals                        ,                            2003                        ,                            23                        ,                            46                        ,                            0.28                        ,                            186                        
372,                            Mighty Ducks of Anaheim                        ,                            2005                        ,                            43                        ,                            27                        ,                            0.524                        ,                            254                        
373,                            Atlanta Thrashers                        ,                            2005                        ,                            41                        ,                            33                        ,                            0.5                        ,                            281                        
374,                            Boston Bruins                        ,                            2005                        ,                            29                        ,                            37                        ,                            0.354                        ,                            230                        
375,                            Buffalo Sabres                        ,                            2005                        ,                            52                        ,                            24                        ,                            0.634                        ,                            281                        
376,                            Calgary Flames                        ,                            2005                        ,                            46                        ,                            25                        ,                            0.561                        ,                            218                        
377,                            Carolina Hurricanes                        ,                            2005                        ,                            52                        ,                            22                        ,                            0.634                        ,                            294                        
378,                            Columbus Blue Jackets                        ,                            2005                        ,                            35                        ,                            43                        ,                            0.427                        ,                            223                        
379,                            Chicago Blackhawks                        ,                            2005                        ,                            26                        ,                            43                        ,                            0.317                        ,                            211                        
380,                            Colorado Avalanche                        ,                            2005                        ,                            43                        ,                            30                        ,                            0.524                        ,                            283                        
381,                            Dallas Stars                        ,                            2005                        ,                            53                        ,                            23                        ,                            0.646                        ,                            265                        
382,                            Detroit Red Wings                        ,                            2005                        ,                            58                        ,                            16                        ,                            0.707                        ,                            305                        
383,                            Edmonton Oilers                        ,                            2005                        ,                            41                        ,                            28                        ,                            0.5                        ,                            256                        
384,                            Florida Panthers                        ,                            2005                        ,                            37                        ,                            34                        ,                            0.451                        ,                            240                        
385,                            Los Angeles Kings                        ,                            2005                        ,                            42                        ,                            35                        ,                            0.512                        ,                            249                        
386,                            Minnesota Wild                        ,                            2005                        ,                            38                        ,                            36                        ,                            0.463                        ,                            231                        
387,                            Montreal Canadiens                        ,                            2005                        ,                            42                        ,                            31                        ,                            0.512                        ,                            243                        
388,                            Nashville Predators                        ,                            2005                        ,                            49                        ,                            25                        ,                            0.598                        ,                            259                        
389,                            New Jersey Devils                        ,                            2005                        ,                            46                        ,                            27                        ,                            0.561                        ,                            242                        
390,                            New York Islanders                        ,                            2005                        ,                            36                        ,                            40                        ,                            0.439                        ,                            230                        
391,                            New York Rangers                        ,                            2005                        ,                            44                        ,                            26                        ,                            0.537                        ,                            257                        
392,                            Ottawa Senators                        ,                            2005                        ,                            52                        ,                            21                        ,                            0.634                        ,                            314                        
393,                            Philadelphia Flyers                        ,                            2005                        ,                            45                        ,                            26                        ,                            0.549                        ,                            267                        
394,                            Phoenix Coyotes                        ,                            2005                        ,                            38                        ,                            39                        ,                            0.463                        ,                            246                        
395,                            Pittsburgh Penguins                        ,                            2005                        ,                            22                        ,                            46                        ,                            0.268                        ,                            244                        
396,                            San Jose Sharks                        ,                            2005                        ,                            44                        ,                            27                        ,                            0.537                        ,                            266                        
397,                            St. Louis Blues                        ,                            2005                        ,                            21                        ,                            46                        ,                            0.256                        ,                            197                        
398,                            Tampa Bay Lightning                        ,                            2005                        ,                            43                        ,                            33                        ,                            0.524                        ,                            252                        
399,                            Toronto Maple Leafs                        ,                            2005                        ,                            41                        ,                            33                        ,                            0.5                        ,                            257                        
400,                            Vancouver Canucks                        ,                            2005                        ,                            42                        ,                            32                        ,                            0.512                        ,                            256                        
401,                            Washington Capitals                        ,                            2005                        ,                            29                        ,                            41                        ,                            0.354                        ,                            237                        
402,                            Anaheim Ducks                        ,                            2006                        ,                            48                        ,                            20                        ,                            0.585                        ,                            258                        
403,                            Atlanta Thrashers                        ,                            2006                        ,                            43                        ,                            28                        ,                            0.524                        ,                            246                        
404,                            Boston Bruins                        ,                            2006                        ,                            35                        ,                            41                        ,                            0.427                        ,                            219                        
405,                            Buffalo Sabres                        ,                            2006                        ,                            53                        ,                            22                        ,                            0.646                        ,                            308                        
406,                            Calgary Flames                        ,                            2006                        ,                            43                        ,                            29                        ,                            0.524                        ,                            258                        
407,                            Carolina Hurricanes                        ,                            2006                        ,                            40                        ,                            34                        ,                            0.488                        ,                            241                        
408,                            Columbus Blue Jackets                        ,                            2006                        ,                            33                        ,                            42                        ,                            0.402                        ,                            201                        
409,                            Chicago Blackhawks                        ,                            2006                        ,                            31                        ,                            42                        ,                            0.378                        ,                            201                        
410,                            Colorado Avalanche                        ,                            2006                        ,                            44                        ,                            31                        ,                            0.537                        ,                            272                        
411,                            Dallas Stars                        ,                            2006                        ,                            50                        ,                            25                        ,                            0.61                        ,                            226                        
412,                            Detroit Red Wings                        ,                            2006                        ,                            50                        ,                            19                        ,                            0.61                        ,                            254                        
413,                            Edmonton Oilers                        ,                            2006                        ,                            32                        ,                            43                        ,                            0.39                        ,                            195                        
414,                            Florida Panthers                        ,                            2006                        ,                            35                        ,                            31                        ,                            0.427                        ,                            247                        
415,                            Los Angeles Kings                        ,                            2006                        ,                            27                        ,                            41                        ,                            0.329                        ,                            227                        
416,                            Minnesota Wild                        ,                            2006                        ,                            48                        ,                            26                        ,                            0.585                        ,                            235                        
